RT(milliseconds),TIC
19820,906401
19830,906437
19840,906600
19850,906770
19860,906861
19870,906888
19880,907034
19890,906836
19900,906536
19910,906602
19920,906724
19930,906845
19940,906894
19950,907166
19960,907044
19970,906832
19980,906596
19990,906716
20000,906569
20010,906310
20020,906283
20030,906452
20040,906632
20050,906746
20060,906969
20070,906809
20080,906757
20090,906690
20100,906871
20110,906857
20120,906690
20130,906681
20140,906806
20150,906835
20160,906886
20170,906665
20180,906813
20190,906873
20200,907042
20210,906750
20220,906685
20230,906695
20240,906984
20250,906991
20260,906833
20270,906640
20280,906626
20290,906665
20300,906692
20310,906506
20320,906340
20330,906051
20340,906244
20350,906563
20360,906997
20370,907202
20380,907115
20390,907102
20400,907052
20410,907074
20420,906874
20430,906510
20440,906509
20450,906465
20460,906575
20470,906674
20480,906532
20490,906616
20500,906430
20510,906541
20520,906545
20530,906560
20540,906715
20550,906570
20560,906572
20570,906566
20580,906649
20590,906455
20600,906532
20610,906605
20620,906819
20630,906848
20640,906925
20650,906848
20660,906632
20670,906705
20680,906853
20690,906802
20700,906806
20710,907031
20720,907127
20730,907012
20740,906941
20750,907039
20760,906947
20770,906668
20780,906613
20790,906859
20800,907263
20810,907511
20820,907541
20830,907373
20840,907087
20850,906801
20860,906673
20870,906678
20880,906662
20890,906453
20900,906610
20910,906707
20920,907054
20930,907018
20940,907016
20950,906847
20960,906499
20970,906305
20980,906356
20990,906671
21000,906776
21010,906650
21020,906491
21030,906640
21040,907068
21050,907346
21060,907138
21070,906713
21080,906489
21090,906671
21100,906796
21110,907096
21120,907481
21130,907339
21140,907041
21150,906429
21160,906596
21170,906916
21180,907263
21190,907196
21200,907135
21210,907193
21220,907079
21230,906860
21240,906493
21250,906473
21260,906446
21270,906323
21280,906295
21290,906497
21300,906666
21310,906851
21320,907232
21330,907462
21340,907566
21350,907128
21360,907007
21370,906799
21380,906866
21390,906893
21400,906879
21410,906637
21420,906847
21430,907254
21440,907424
21450,906926
21460,906767
21470,906804
21480,906941
21490,907059
21500,906993
21510,906970
21520,906574
21530,906412
21540,906885
21550,907180
21560,907278
21570,907151
21580,906935
21590,907014
21600,906797
21610,906985
21620,906854
21630,906566
21640,906418
21650,906378
21660,906798
21670,906865
21680,907079
21690,907335
21700,907646
21710,907624
21720,907239
21730,907036
21740,907215
21750,907304
21760,907207
21770,907057
21780,906968
21790,906984
21800,907172
21810,907309
21820,906973
21830,906671
21840,906809
21850,907131
21860,907425
21870,907205
21880,907071
21890,906859
21900,906889
21910,907072
21920,907068
21930,907100
21940,907340
21950,907368
21960,907251
21970,906949
21980,906859
21990,906920
22000,906785
22010,906828
22020,906755
22030,906800
22040,906705
22050,906678
22060,906509
22070,906773
22080,906936
22090,907184
22100,906868
22110,906915
22120,907027
22130,906928
22140,906493
22150,906335
22160,906413
22170,906742
22180,906809
22190,906866
22200,907169
22210,907430
22220,907660
22230,907306
22240,907027
22250,906872
22260,906761
22270,906690
22280,906763
22290,907102
22300,907132
22310,907247
22320,906883
22330,906843
22340,906350
22350,906560
22360,906714
22370,907097
22380,906847
22390,906611
22400,906540
22410,906938
22420,906983
22430,907013
22440,906606
22450,906681
22460,906653
22470,906812
22480,906692
22490,906645
22500,906496
22510,906390
22520,906563
22530,906831
22540,907011
22550,906865
22560,906587
22570,906772
22580,906745
22590,907181
22600,907028
22610,906789
22620,906341
22630,906318
22640,906529
22650,906506
22660,906493
22670,906958
22680,907473
22690,907524
22700,907026
22710,906696
22720,906983
22730,907172
22740,907319
22750,906901
22760,906744
22770,906445
22780,906541
22790,906869
22800,907301
22810,907562
22820,907311
22830,907236
22840,907164
22850,907102
22860,906727
22870,906521
22880,906675
22890,906904
22900,907143
22910,907271
22920,907113
22930,906979
22940,906956
22950,907016
22960,906759
22970,906236
22980,906265
22990,906336
23000,906326
23010,906400
23020,906524
23030,906593
23040,906637
23050,906487
23060,906820
23070,907121
23080,907541
23090,907499
23100,907111
23110,906879
23120,906885
23130,906932
23140,906866
23150,906778
23160,906857
23170,907088
23180,907028
23190,906968
23200,906958
23210,907159
23220,907089
23230,906730
23240,906825
23250,906992
23260,907405
23270,907245
23280,907151
23290,906884
23300,907112
23310,907262
23320,907405
23330,906926
23340,906593
23350,906502
23360,906690
23370,906591
23380,906489
23390,906873
23400,907153
